RedFighter,BlueFighter,Date,Location,Country,WeightClass,Gender,NumberOfRounds,TitleBout,Winner,RedOdds,BlueOdds,RedExpectedValue,BlueExpectedValue,RedCurrentLoseStreak,RedCurrentWinStreak,RedDraws,RedAvgSigStrLanded,RedAvgSigStrPct,RedAvgSubAtt,RedAvgTDLanded,RedAvgTDPct,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByDecisionMajority,RedWinsByDecisionSplit,RedWinsByDecisionUnanimous,RedWinsByKO,RedWinsBySubmission,RedWinsByTKODoctorStoppage,RedWins,RedStance,RedHeightCms,RedReachCms,RedWeightLbs,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueDraws,BlueAvgSigStrLanded,BlueAvgSigStrPct,BlueAvgSubAtt,BlueAvgTDLanded,BlueAvgTDPct,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByDecisionMajority,BlueWinsByDecisionSplit,BlueWinsByDecisionUnanimous,BlueWinsByKO,BlueWinsBySubmission,BlueWinsByTKODoctorStoppage,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,BlueWeightLbs,RMatchWCRank,BMatchWCRank,RPFPRank,BPFPRank,RedStanceEncoded,BlueStanceEncoded,Target
Eric Schafer,Jason Brilz,2010-03-21,"Broomfield, Colorado, USA", USA,Light Heavyweight,MALE,3,0,Blue,140.0,-160.0,140.0,62.5,1,0,0,15.6667,0.588,1.3333,0.8333,0.145,2,3,9,0,0,0,0,1,2,0,3,Orthodox,190.5,190.5,185,1,0,0,31.6667,0.46,0.6667,1.6667,0.5,2,1,8,0,0,0,1,1,0,0,2,Orthodox,180.34,180.34,205,7.0,9.0,6.0,10.0,0,0,0.0
Brandon Vera,Jon Jones,2010-03-21,"Broomfield, Colorado, USA", USA,Light Heavyweight,MALE,3,0,Blue,215.0,-235.0,215.0,42.5532,1,0,0,30.7273,0.573,0.0909,0.5455,0.364,4,4,23,0,0,0,2,4,1,0,7,Orthodox,190.5,193.04,230,1,0,0,39.0,0.478,0.25,2.5,0.525,3,1,9,0,0,0,2,0,1,0,3,Orthodox,193.04,213.36,205,7.0,9.0,6.0,10.0,0,0,0.0
Junior Dos Santos,Gabriel Gonzaga,2010-03-21,"Broomfield, Colorado, USA", USA,Heavyweight,MALE,3,0,Red,-250.0,230.0,40.0,230.0,0,4,0,25.75,0.538,0.0,0.0,0.0,4,0,6,0,0,0,0,4,0,0,4,Orthodox,193.04,195.58,238,0,1,0,13.7,0.548,0.7,1.2,0.572,4,3,16,1,0,0,0,5,2,0,7,Orthodox,187.96,193.04,242,7.0,9.0,6.0,10.0,0,0,1.0
Cheick Kongo,Paul Buentello,2010-03-21,"Broomfield, Colorado, USA", USA,Heavyweight,MALE,3,0,Red,-345.0,315.0,28.9855,315.0,2,0,0,32.9091,0.604,0.2727,1.1818,0.476,3,4,22,0,1,0,1,4,0,1,7,Orthodox,193.04,208.28,240,1,0,0,25.8,0.466,0.4,0.2,0.1,2,2,8,1,0,0,0,2,1,0,3,Orthodox,187.96,195.58,245,7.0,9.0,6.0,10.0,0,0,1.0
Alessio Sakara,James Irvin,2010-03-21,"Broomfield, Colorado, USA", USA,Middleweight,MALE,3,0,Red,-120.0,100.0,83.3333,100.0,0,2,0,20.8,0.455,0.0,1.0,0.15,2,5,15,0,0,1,1,3,0,0,5,Orthodox,182.88,182.88,185,1,0,0,5.25,0.555,0.125,0.0,0.0,2,4,10,0,0,0,0,3,0,0,4,Orthodox,187.96,190.5,205,7.0,9.0,6.0,10.0,0,0,1.0
Mike Pierce,Julio Paulino,2010-03-21,"Broomfield, Colorado, USA", USA,Welterweight,MALE,3,0,Red,-420.0,335.0,23.8095,335.0,1,0,0,40.5,0.405,0.0,3.5,0.52,1,1,6,0,0,0,1,0,0,0,1,Orthodox,172.72,177.8,170,0,0,0,9.0,0.46,0.3,1.0,0.33,0,0,0,0,0,0,0,0,0,0,0,Orthodox,182.88,185.42,170,7.0,9.0,6.0,10.0,0,0,1.0
Eliot Marshall,Vladimir Matyushenko,2010-03-21,"Broomfield, Colorado, USA", USA,Light Heavyweight,MALE,3,0,Blue,145.0,-165.0,145.0,60.6061,0,3,0,27.0,0.343,0.6667,0.3333,0.333,3,0,7,0,0,1,1,0,1,0,3,Orthodox,187.96,195.58,205,0,1,0,22.1667,0.51,0.1667,2.5,0.48,2,2,16,1,0,0,3,1,0,0,4,Orthodox,182.88,187.96,205,7.0,9.0,6.0,10.0,0,0,0.0
Duane Ludwig,Darren Elkins,2010-03-21,"Broomfield, Colorado, USA", USA,Lightweight,MALE,3,0,Blue,-155.0,135.0,64.5161,135.0,1,0,0,13.6667,0.577,0.0,0.0,0.0,2,1,5,0,0,0,1,1,0,0,2,Orthodox,177.8,177.8,170,0,0,0,9.0,0.46,0.3,1.0,0.33,0,0,0,0,0,0,0,0,0,0,0,Orthodox,177.8,180.34,145,7.0,9.0,6.0,10.0,0,0,0.0
John Howard,Daniel Roberts,2010-03-21,"Broomfield, Colorado, USA", USA,Welterweight,MALE,3,0,Red,-210.0,175.0,47.619,175.0,0,3,0,18.0,0.55,1.0,4.6667,0.79,3,0,9,0,0,2,0,1,0,0,3,Orthodox,170.18,180.34,170,0,0,0,9.0,0.46,0.3,1.0,0.33,0,0,0,0,0,0,0,0,0,0,0,Southpaw,177.8,187.96,170,7.0,9.0,6.0,10.0,0,1,1.0
Brendan Schaub,Chase Gormley,2010-03-21,"Broomfield, Colorado, USA", USA,Heavyweight,MALE,3,0,Red,-260.0,220.0,38.4615,220.0,1,0,0,12.0,0.25,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0,0,Orthodox,193.04,198.12,245,1,0,0,8.0,0.34,1.0,1.0,1.0,0,1,1,0,0,0,0,0,0,0,0,Orthodox,190.5,196.0,265,7.0,9.0,6.0,10.0,0,0,1.0
